Clip,FilterID,fc,N,Window,E_0_150,E_0_200,E_0_250,E_250_1000,E_1000plus,Retention,Leakage
clip2_bass_guitar,fc200_N1000_hamming,200,1000,hamming,0.0069381580702734,0.0123058051122349,0.0123244296530611,1.09925642891904e-06,1.2975583011279e-07,0.789592370257374,0.00327067670425456
clip2_bass_guitar,fc200_N1000_hann,200,1000,hann,0.00688152893347323,0.0120122027094138,0.0120324736906161,1.28272046454426e-06,1.26689124097708e-07,0.770753601477734,0.00365514745028072
clip2_bass_guitar,fc200_N1000_rectwin,200,1000,rectwin,0.00767392152552077,0.0163181197538666,0.0163344748431622,3.05399772328048e-06,1.74155855190446e-07,1.04703940433681,0.0031344977420539
clip2_bass_guitar,fc200_N100_blackman,200,100,blackman,0.00668269583316649,0.0142453556829656,0.0146912781976473,0.00260288571432899,4.34298125146638e-07,0.914042117219052,0.592943498717138
clip2_bass_guitar,fc200_N100_hamming,200,100,hamming,0.00649478680246001,0.0135571605945584,0.0139463920983709,0.0019868837028135,1.94818935277095e-07,0.869884617071851,0.462504591501083
clip2_bass_guitar,fc200_N100_hann,200,100,hann,0.00658750476173108,0.013893431195582,0.0143095549534753,0.00225939053644512,2.49572826784916e-07,0.891461157451654,0.520571506525105
clip2_bass_guitar,fc200_N100_rectwin,200,100,rectwin,0.0059509731091562,0.0116309504218097,0.0118770176719174,0.000750289879665028,1.5083407005116e-06,0.746290846323576,0.194947883714472
clip2_bass_guitar,fc200_N2000_blackman,200,2000,blackman,0.00703032512076765,0.013676772185302,0.0136896150450691,7.22836135171879e-07,1.44371287125088e-07,0.877559401337007,0.0019903756233228
clip2_bass_guitar,fc200_N2000_hamming,200,2000,hamming,0.00705095193050811,0.0143940005046425,0.0144060658836191,7.64388435778762e-07,1.52258129881423e-07,0.923579796062805,0.00182235617134066
clip2_bass_guitar,fc200_N2000_hann,200,2000,hann,0.00703539306541652,0.0142597547382817,0.0142719576836395,7.55356494603189e-07,1.50748260778125e-07,0.914966021353139,0.00185690705538192
clip2_bass_guitar,fc200_N2000_rectwin,200,2000,rectwin,0.00723539879622213,0.0161146522490598,0.0161273908730721,2.08421996236182e-06,1.72897159073618e-07,1.03398407086407,0.00210933339088181
clip2_bass_guitar,fc200_N200_blackman,200,200,blackman,0.00590086217464237,0.0115003272471528,0.0117458887965551,0.000833860145833434,1.45895068932216e-07,0.737909512380187,0.210699035051295
clip2_bass_guitar,fc200_N200_hamming,200,200,hamming,0.00547969677218496,0.0101409606571784,0.0103104045139528,0.000415082001471678,1.21530468283673e-07,0.65068681723451,0.114337145369425
clip2_bass_guitar,fc200_N200_hann,200,200,hann,0.00564632267455049,0.0106595551581912,0.0108545990983268,0.000526437059350143,1.29608482184651e-07,0.683962028203847,0.14105507744769
clip2_bass_guitar,fc200_N200_rectwin,200,200,rectwin,0.00436505949513118,0.00687309704948208,0.00691196024405935,1.58404611539558e-05,1.09176752847064e-07,0.441006902093213,0.0106709618004626
clip2_bass_guitar,fc200_N500_blackman,200,500,blackman,0.00511401949828003,0.0085649485241826,0.00863112597202982,4.5574070337135e-05,9.35157073154099e-08,0.549563230090318,0.0218778088586491
clip2_bass_guitar,fc200_N500_hamming,200,500,hamming,0.00565011278432944,0.00932905992921567,0.00937853953422402,1.6388297669488e-05,9.99507074053112e-08,0.598591841378896,0.0127505550762696
clip2_bass_guitar,fc200_N500_hann,200,500,hann,0.00536889690278943,0.00888513432000737,0.00893786845474554,2.00578693487324e-05,9.55232435952893e-08,0.570107701511913,0.0141566766782288
clip2_bass_guitar,fc200_N500_rectwin,200,500,rectwin,0.00991653619385401,0.0160266037062318,0.0160479250967803,1.16413111828383e-05,1.70481868454137e-07,1.02833450490758,0.00576790382558615
clip2_bass_guitar,fc200_N50_blackman,200,50,blackman,0.00694286037283936,0.0152246169676996,0.015757972215152,0.00378147779959831,3.74781321725263e-05,0.976875652437774,0.845319801003799
clip2_bass_guitar,fc200_N50_hamming,200,50,hamming,0.00688779889133141,0.0150145893622702,0.0155284647790881,0.00348476456720561,1.27597593203658e-05,0.963399395234123,0.779310287302679
clip2_bass_guitar,fc200_N50_hann,200,50,hann,0.00691657810433045,0.0151240951527963,0.0156480547050528,0.00363370973964071,2.07214073741662e-05,0.970425748724193,0.811646296375397
clip2_bass_guitar,fc200_N50_rectwin,200,50,rectwin,0.00672440237527058,0.0143968630713511,0.014854916145604,0.00271927482873992,6.08859106835721e-06,0.923763470419083,0.618959825706819
clip2_bass_guitar,fc250_N1000_blackman,250,1000,blackman,0.00702514195751105,0.0149225790291819,0.0151198624926616,6.65168677494486e-05,1.63920778609666e-07,0.936060927937325,0.0145403031201614
clip2_bass_guitar,fc250_N1000_hamming,250,1000,hamming,0.00702014811946836,0.0154170313872562,0.0156280533780352,4.74343627395806e-05,1.68879472817833e-07,0.967522697643432,0.0103803024872769
clip2_bass_guitar,fc250_N1000_hann,250,1000,hann,0.00705203254163569,0.0154855926806841,0.0156936300348592,5.14263511933105e-05,1.69481186838282e-07,0.971582506141529,0.0112509169858772
clip2_bass_guitar,fc250_N1000_rectwin,250,1000,rectwin,0.00667627438669478,0.0146957682305585,0.0149423531324466,2.77901275796584e-05,1.65466650278298e-07,0.925071438018287,0.00609598439711465
clip2_bass_guitar,fc250_N100_blackman,250,100,blackman,0.00669204310979532,0.0142800518267737,0.0147289474472124,0.0026382522276564,5.04597451999035e-07,0.911859629786276,0.575405258033934
clip2_bass_guitar,fc250_N100_hamming,250,100,hamming,0.00651618012557264,0.0136349138335109,0.0140304046079417,0.00205139861856126,1.98189887847935e-07,0.868613293475407,0.44736623677977
clip2_bass_guitar,fc250_N100_hann,250,100,hann,0.00660079855864604,0.0139423479436964,0.0143625557049168,0.00230480082721563,2.37116630505208e-07,0.889176553505109,0.502630978059742
clip2_bass_guitar,fc250_N100_rectwin,250,100,rectwin,0.0060020164050635,0.0118076165024584,0.012065833576286,0.000835985263612231,1.1707132790185e-06,0.746987968920839,0.182548310663115
clip2_bass_guitar,fc250_N2000_blackman,250,2000,blackman,0.00703604903062292,0.0155822209141538,0.0158231448264233,3.05913206859837e-05,1.71306362651347e-07,0.97960068329307,0.0067080806589501
clip2_bass_guitar,fc250_N2000_hamming,250,2000,hamming,0.0070440921428334,0.0156004419816446,0.0158605886581341,2.55751724901066e-05,1.71964218496455e-07,0.98191880674649,0.0056144155708722
clip2_bass_guitar,fc250_N2000_hann,250,2000,hann,0.00703504137670293,0.0155789229851564,0.0158337065530833,2.63822109659286e-05,1.71633665472997e-07,0.980254552973615,0.00579032416257796
clip2_bass_guitar,fc250_N2000_rectwin,250,2000,rectwin,0.00714944881664308,0.0158520055394424,0.016180573367512,2.97556062530415e-05,1.77878366729744e-07,1.00172885357274,0.00652728900339948
